,0,1,2
0,0,1928-10-19,patna
1,1,1956-08-01,gujarat
2,2,1956-09-09,bihar
3,3,1956-09-09,uttar pradesh
4,4,1957-09-09,uttar pradesh
5,5,1961-10-09,uttar pradesh
6,6,1968-06-12,assam
7,7,1970-09-02,gujarat
8,8,1970-09-02,orissa
9,9,1971-09-09,uttar pradesh
10,10,1974-07-02,jorhat
11,11,1974-07-02,tinsukia
12,12,1974-07-02,jorhat
13,13,1979-08-25,bihar
14,14,1979-08-25,uttar pradesh
15,15,1979-08-25,west bengal
16,16,1984-06-25,assam
17,17,1984-06-25,bihar
18,18,1984-06-25,uttar pradesh
19,19,1984-06-25,west bengal
20,20,1985-11-12,tamil nadu
21,21,1985-06-23,assam
22,22,1985-06-23,goa
23,23,1985-06-23,karnataka
24,24,1985-06-23,kerala
25,25,1987-07-09,andhra pradesh
26,26,1987-09-18,uttar pradesh
27,27,1988-09-22,haryana
28,28,1988-09-22,himachal pradesh
29,29,1988-09-22,punjab
30,30,1988-09-22,delhi
31,31,1989-07-28,andhra pradesh
32,32,1989-07-28,gujarat
33,33,1989-07-28,maharashtra
34,34,1990-03-21,jammu
35,35,1990-10-24,tami nadu
36,36,1990-06-13,assam
37,37,1991-07-13,assam
38,38,1991-07-13,meghalaya
39,39,1991-06-10,gujarat
40,40,1991-06-10,kerala
41,41,1991-05-07,assam
42,42,1991-05-07,tripura
43,43,1991-05-07,una
44,44,1991-10-30,karnataka
45,45,1991-06-01,kerala
46,46,1991-07-30,andhra pradesh
47,47,1991-07-30,gujarat
48,48,1991-07-30,madhya pradesh
49,49,1991-07-30,maharashtra
50,50,1991-07-30,orissa
51,51,1991-08-15,bihar
52,52,1991-08-15,haryana
53,53,1991-08-15,himachal pradesh
54,54,1991-08-15,uttar pradesh
55,55,1991-09-14,west bengal
56,56,1992-09-08,jammu
57,57,1992-09-08,madhya pradesh
58,58,1992-09-08,uttar pradesh
59,59,1992-10-08,kerala
60,60,1992-07-26,orissa
61,61,1992-11-10,andhra pradesh
62,62,1992-11-10,karnataka
63,63,1992-11-10,kerala
64,64,1992-11-10,tamil nadu
65,65,1993-07-08,assam
66,66,1993-07-08,gujarat
67,67,1993-07-08,haryana
68,68,1993-07-08,himachal pradesh
69,69,1993-07-08,jammu
70,70,1993-07-08,madhya pradesh
71,71,1993-07-08,punjab
72,72,1993-07-08,rajasthan
73,73,1993-07-08,chandigarh
74,74,1993-07-08,chandigarh
75,75,1993-10-11,karnataka
76,76,1993-09-09,uttar pradesh
77,77,1994-08-17,delhi
78,78,1995-09-01,bihar
79,79,1995-09-01,haryana
80,80,1995-09-01,himachal pradesh
81,81,1995-09-01,jammu
82,82,1995-09-01,maharashtra
83,83,1995-09-01,punjab
84,84,1995-09-01,rajasthan
85,85,1995-09-01,uttar pradesh
86,86,1995-09-01,west bengal
87,87,1995-09-05,sikkim
88,88,1995-10-23,andhra pradesh
89,89,1996-08-23,jammu
90,90,1996-07-11,uttar pradesh
91,91,1996-10-21,andhra pradesh
92,92,1996-10-21,karnataka
93,93,1996-10-21,kerala
94,94,1996-10-21,tamil nadu
95,95,1996-07-10,arunachal pradesh
96,96,1996-07-10,assam
97,97,1996-07-10,west bengal
98,98,1996-07-10,una
99,99,1996-08-25,assam
100,100,1996-08-25,bihar
101,101,1996-08-25,gujarat
102,102,1996-08-25,haryana
103,103,1996-08-25,kerala
