0,1,2
0,0,10-1928,bihar
1,1,08-1956,gujarat
2,2,09-1956,bihar
3,3,09-1956,uttar pradesh
4,4,09-1957,uttar pradesh
5,5,10-1961,uttar pradesh
6,6,06-1968,assam
7,7,09-1970,gujarat
8,8,09-1970,orissa
9,9,09-1971,uttar pradesh
10,10,07-1974,Assam
11,11,07-1974,Assam
12,12,07-1974,Assam
13,13,08-1979,bihar
14,14,08-1979,uttar pradesh
15,15,08-1979,west bengal
16,16,06-1984,assam
17,17,06-1984,bihar
18,18,06-1984,uttar pradesh
19,19,06-1984,west bengal
20,20,11-1985,tamil nadu
21,21,06-1985,assam
22,22,06-1985,goa
23,23,06-1985,karnataka
24,24,06-1985,kerala
25,25,07-1987,andhra pradesh
26,26,09-1987,uttar pradesh
27,27,09-1988,haryana
28,28,09-1988,himachal pradesh
29,29,09-1988,punjab
30,30,09-1988,delhi
31,31,07-1989,andhra pradesh
32,32,07-1989,gujarat
33,33,07-1989,maharashtra
34,34,03-1990,jammu
35,35,10-1990,tami nadu
36,36,06-1990,assam
37,37,07-1991,assam
38,38,07-1991,meghalaya
39,39,06-1991,gujarat
40,40,06-1991,kerala
41,41,05-1991,assam
42,42,05-1991,tripura
43,43,05-1991,himachal pradesh
44,44,10-1991,karnataka
45,45,06-1991,kerala
46,46,07-1991,andhra pradesh
47,47,07-1991,gujarat
48,48,07-1991,madhya pradesh
49,49,07-1991,maharashtra
50,50,07-1991,orissa
51,51,08-1991,bihar
52,52,08-1991,haryana
53,53,08-1991,himachal pradesh
54,54,08-1991,uttar pradesh
55,55,09-1991,west bengal
56,56,09-1992,jammu
57,57,09-1992,madhya pradesh
58,58,09-1992,uttar pradesh
59,59,10-1992,kerala
60,60,07-1992,orissa
61,61,11-1992,andhra pradesh
62,62,11-1992,karnataka
63,63,11-1992,kerala
64,64,11-1992,tamil nadu
65,65,07-1993,assam
66,66,07-1993,gujarat
67,67,07-1993,haryana
68,68,07-1993,himachal pradesh
69,69,07-1993,jammu
70,70,07-1993,madhya pradesh
71,71,07-1993,punjab
72,72,07-1993,rajasthan
73,73,07-1993,haryana
74,74,07-1993,haryana
75,75,10-1993,karnataka
76,76,09-1993,uttar pradesh
77,77,08-1994,delhi
78,78,09-1995,bihar
79,79,09-1995,haryana
80,80,09-1995,himachal pradesh
81,81,09-1995,jammu
82,82,09-1995,maharashtra
83,83,09-1995,punjab
84,84,09-1995,rajasthan
85,85,09-1995,uttar pradesh
86,86,09-1995,west bengal
87,87,09-1995,sikkim
88,88,10-1995,andhra pradesh
89,89,08-1996,jammu
90,90,07-1996,uttar pradesh
91,91,10-1996,andhra pradesh
92,92,10-1996,karnataka
93,93,10-1996,kerala
94,94,10-1996,tamil nadu
95,95,07-1996,arunachal pradesh
96,96,07-1996,assam
97,97,07-1996,west bengal
98,98,07-1996,himachal pradesh
99,99,08-1996,assam
100,100,08-1996,bihar
101,101,08-1996,gujarat
102,102,08-1996,haryana
103,103,08-1996,kerala
104,104,08-1996,rajasthan
105,105,08-1996,uttar pradesh
106,106,07-1996,bihar
107,107,07-1996,Bihar
108,108,08-1997,himachal pradesh
109,109,08-1997,haryana
110,110,08-1997,haryana
111,111,08-1997,west bengal
112,112,06-1997,gujarat
113,113,06-1997,gujarat
114,114,09-1997,andhra pradesh
115,115,09-1997,andhra pradesh
116,116,09-1998,gujarat
117,117,09-1998,maharashtra
118,118,09-1998,andhra pradesh
119,119,09-1998,telangana
120,120,07-1999,arunachal pradesh
121,121,07-1999,assam
122,122,07-1999,bihar
123,123,07-1999,gujarat
124,124,07-1999,karnataka
125,125,07-1999,kerala
126,126,07-1999,punjab
127,127,07-1999,tripura
128,128,07-1999,west bengal
129,129,07-1999,himachal pradesh
130,130,06-2000,arunachal pradesh
131,131,06-2000,assam
132,132,06-2000,arunachal pradesh
133,133,06-2000,assam
134,134,06-2000,arunachal pradesh
135,135,06-2000,Assam
136,136,06-2000,himachal pradesh
137,137,06-2000,assam
138,138,08-2000,andhra pradesh
139,139,08-2000,arunachal pradesh
140,140,08-2000,assam
141,141,08-2000,bihar
142,142,08-2000,gujarat
143,143,08-2000,himachal pradesh
144,144,08-2000,kerala
145,145,08-2000,madhya pradesh
146,146,08-2000,maharashtra
147,147,08-2000,punjab
148,148,08-2000,rajasthan
149,149,08-2000,uttar pradesh
150,150,08-2000,uttarakhand
151,151,08-2000,west bengal
152,152,08-2000,haryana
153,153,08-2000,bihar 
154,154,08-2000,haryana
155,155,08-2000,himachal pradesh
